,0,1,2,3,4
0,Push-press,Quadriceps,https://www.bodybuilding.com/images/2020/xdb/originals/xdb-39b-push-press-m1-16x9.jpg,https://www.bodybuilding.com/images/2020/xdb/originals/xdb-39b-push-press-m2-16x9.jpg,
1,Palms-down wrist curl over bench,Forearms,https://www.bodybuilding.com/images/2020/xdb/originals/xdb-62e-palms-down-wrist-curl-over-bench-m1-16x9.jpg,https://www.bodybuilding.com/images/2020/xdb/originals/xdb-62e-palms-down-wrist-curl-over-bench-m2-16x9.jpg,Start out by placing a barbell on one side of a flat bench. Kneel down on both of your knees so that your body is facing the flat bench. Use your arms to grab the barbell with a pronated grip (palms down) and bring them up so that your forearms are resting against the flat bench. Your wrists should be hanging over the edge. Start out by curling your wrist upwards and exhaling. Slowly lower your wrists back down to the starting position while inhaling. Your forearms should be stationary as your wrist is the only movement needed to perform this exercise. Repeat for the recommended amount of repetitions.
2,Dumbbell front raise to lateral raise,Shoulders,https://www.bodybuilding.com/images/2020/xdb/originals/xdb-61d-dumbbell-front-raise-to-lateral-raise-m2-16x9.jpg,https://www.bodybuilding.com/images/2020/xdb/originals/xdb-61d-dumbbell-front-raise-to-lateral-raise-m3-16x9.jpg,"In a standing position, hold a pair of dumbbells at your side. This will be your starting position. Keeping your elbows slightly bent, raise the weights directly in front of you to shoulder height, avoiding any swinging or cheating. At the top of the exercise move the weights out in front of you, keeping your arms extended. Lower the weights with a controlled motion. On the next repetition, raise the weights in front of you to shoulder height before moving the weights laterally to your sides. Lower the weights to the starting position."
3,Incline Hammer Curls,Biceps,https://www.bodybuilding.com/exercises/exerciseImages/sequences/882/Male/l/882_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/882/Male/l/882_2.jpg,"Seat yourself on an incline bench with a dumbbell in each hand. You should pressed firmly against he back with your feet together. Allow the dumbbells to hang straight down at your side, holding them with a neutral grip. This will be your starting position. Initiate the movement by flexing at the elbow, attempting to keep the upper arm stationary. Continue to the top of the movement and pause, then slowly return to the start position."
4,Barbell glute bridge,Glutes,https://www.bodybuilding.com/images/2020/xdb/originals/xdb-114s-barbell-glute-bridge-m1-16x9.jpg,https://www.bodybuilding.com/images/2020/xdb/originals/xdb-114s-barbell-glute-bridge-m2-16x9.jpg,"Begin seated on the ground with a loaded barbell over your legs. Using a fat bar or having a pad on the bar can greatly reduce the discomfort caused by this exercise. Roll the bar so that it is directly above your hips, and lay down flat on the floor. Begin the movement by driving through with your heels, extending your hips vertically through the bar. Your weight should be supported by your upper back and the heels of your feet. Extend as far as possible, then reverse the motion to return to the starting position."
5,Clean and press,Shoulders,https://www.bodybuilding.com/images/2020/xdb/originals/xdb-27b-clean-and-press-m1-16x9.jpg,https://www.bodybuilding.com/images/2020/xdb/originals/xdb-27b-clean-and-press-m5-16x9.jpg,"Assume a shoulder-width stance, with knees inside the arms. Now while keeping the back flat, bend at the knees and hips so that you can grab the bar with the arms fully extended and a pronated grip that is slightly wider than shoulder width. Point the elbows out to sides. The bar should be close to the shins. Position the shoulders over or slightly ahead of the bar. Establish a flat back posture. This will be your starting position. Begin to pull the bar by extending the knees. Move your hips forward and raise the shoulders at the same rate while keeping the angle of the back constant; continue to lift the bar straight up while keeping it close to your body. As the bar passes the knee, extend at the ankles, knees, and hips forcefully, similar to a jumping motion. As you do so, continue to guide the bar with your hands, shrugging your shoulders and using the momentum from your movement to pull the bar as high as possible. The bar should travel close to your body, and you should keep your elbows out. At maximum elevation, your feet should clear the floor and you should start to pull yourself under the bar. The mechanics of this could change slightly, depending on the weight used. You should descend into a squatting position as you pull yourself under the bar. As the bar hits terminal height, rotate your elbows around and under the bar. Rack the bar across the front of the shoulders while keeping the torso erect and flexing the hips and knees to absorb the weight of the bar. Stand to full height, holding the bar in the clean position. Without moving your feet, press the bar overhead as you exhale. Lower the bar under control ."
6,Dumbbell farmer's walk,Forearms,https://www.bodybuilding.com/images/2020/xdb/originals/xdb-30d-dumbbell-farmers-walk-m1-16x9.jpg,https://www.bodybuilding.com/images/2020/xdb/originals/xdb-30d-dumbbell-farmers-walk-m5-16x9.jpg,"There are various implements that can be used for the farmers walk. These can also be performed with heavy dumbbells or short bars if these implements aren't available. Begin by standing between the implements. After gripping the handles, lift them up by driving through your heels, keeping your back straight and your head up. Walk taking short, quick steps, and don't forget to breathe. Move for a given distance, typically 50-100 feet, as fast as possible."
7,Palms-up wrist curl over bench,Forearms,https://www.bodybuilding.com/images/2020/xdb/originals/xdb-63e-palms-up-wrist-curl-over-bench-m1-16x9.jpg,https://www.bodybuilding.com/images/2020/xdb/originals/xdb-63e-palms-up-wrist-curl-over-bench-m2-16x9.jpg,Start out by placing a barbell on one side of a flat bench. Kneel down on both of your knees so that your body is facing the flat bench. Use your arms to grab the barbell with a supinated grip (palms up) and bring them up so that your forearms are resting against the flat bench. Your wrists should be hanging over the edge. Start out by curling your wrist upwards and exhaling. Slowly lower your wrists back down to the starting position while inhaling. Your forearms should be stationary as your wrist is the only movement needed to perform this exercise. Repeat for the recommended amount of repetitions.
8,Barbell Full Squat,Quadriceps,https://www.bodybuilding.com/images/2020/xdb/originals/xdb-50b-barbell-back-squat-m1-16x9.jpg,https://www.bodybuilding.com/images/2020/xdb/originals/xdb-50b-barbell-back-squat-m2-16x9.jpg,"This exercise is best performed inside a squat rack for safety purposes. To begin, first set the bar on a rack just above shoulder level. Once the correct height is chosen and the bar is loaded, step under the bar and place the back of your shoulders (slightly below the neck) across it. Hold on to the bar using both arms at each side and lift it off the rack by first pushing with your legs and at the same time straightening your torso. Step away from the rack and position your legs using a shoulder-width medium stance with the toes slightly pointed out. Keep your head up at all times and maintain a straight back. This will be your starting position. Begin to slowly lower the bar by bending the knees and sitting back with your hips as you maintain a straight posture with the head up. Continue down until your hamstrings are on your calves. Inhale as you perform this portion of the movement. Begin to raise the bar as you exhale by pushing the floor with the heel or middle of your foot as you straighten the legs and extend the hips to go back to the starting position. Repeat for the recommended amount of repetitions."
9,Barbell Deadlift,Hamstrings,https://www.bodybuilding.com/images/2020/xdb/originals/xdb-07b-barbell-deadlift-m1-16x9.jpg,https://www.bodybuilding.com/images/2020/xdb/originals/xdb-07b-barbell-deadlift-m2-16x9.jpg,"Approach the bar so that it is centered over your feet. Your feet should be about hip-width apart. Bend at the hip to grip the bar at shoulder-width allowing your shoulder blades to protract. Typically, you would use an alternating grip. With your feet and your grip set, take a big breath and then lower your hips and flex the knees until your shins contact the bar. Look forward with your head. Keep your chest up and your back arched, and begin driving through the heels to move the weight upward. After the bar passes the knees aggressively pull the bar back, pulling your shoulder blades together as you drive your hips forward into the bar. Lower the bar by bending at the hips and guiding it to the floor."
